product_id,系列,型號,螢幕尺寸,CPU,GPU,VRAM,RAM,儲存,重量,厚度,定位,目標客群,螢幕規格,特色技術,連線,售價區間
starforge_x1,StarForge X1,StarForge X1,14吋,Intel Core Ultra 9 185H,NVIDIA RTX 4070,8GB,32GB LPDDR5X (Onboard),1TB PCIe Gen4 SSD,1.7kg,19.9mm,高階輕薄電競,行動創作者 / 常移動的玩家,Mini-LED / HDR 1000 / 1000 nits,Vortex Flow散熱 / 指紋辨識電源鍵,Wi-Fi 7 / Thunderbolt 4,高階
starforge_titan_9000,StarForge Titan,StarForge Titan 9000,18吋,Intel Core i9-14900HX,NVIDIA RTX 4090,16GB GDDR6X,64GB DDR5 6400MHz,4TB PCIe Gen4 SSD (RAID 0),3.5kg,28.8mm,旗艦桌電級電競,硬派玩家 / 科技狂熱者,Mini-LED / 1000 nits / 100% DCI-P3 / Delta E<1,Liquid Metal散熱(降溫+45%) / TurboVane 3D第5代 / HyperKey機械軸 / 單鍵RGB,Wi-Fi 7 / Thunderbolt 4 x2,旗艦
starforge_pro_16,StarForge Pro,StarForge Pro 16,16吋,Intel Core Ultra 7 165H,NVIDIA RTX 4070 Ti Super,12GB GDDR6X,32GB DDR5 5600MHz,2TB PCIe Gen4 SSD,2.2kg,21.0mm,進階電競/串流,遊戲實況主 / 半職業玩家,WQXGA 2560x1600 / IPS / 240Hz / 100% DCI-P3,ProFlow雙風扇 / StreamDeck快捷列,Wi-Fi 7 / Thunderbolt 4,高階
starforge_edge,StarForge Edge,StarForge Edge,15.6吋,Intel Core i5-13500H,NVIDIA RTX 4050,6GB GDDR6,16GB DDR5,512GB PCIe Gen4 SSD,2.1kg,22.0mm,入門電競,首購電競學生,FHD 1920x1080 / IPS / 144Hz / sRGB 100%,EdgeBoost散熱 / SpeedType防手汗鍵盤,Wi-Fi 6E / USB-C x1,入門
starforge_phantom,StarForge Phantom,StarForge Phantom,14吋,Intel Core Ultra 5 125H,NVIDIA RTX 4060,8GB GDDR6,16GB LPDDR5X (Onboard),1TB PCIe Gen4 SSD,1.8kg,18.5mm,輕薄商務電競兩用,辦公兼遊戲 / 不張揚的玩家,FHD / IPS / 165Hz,PhantomChill均熱板 / Stealth磨砂外殼 / Silent Mode <28dB,Wi-Fi 7 / Thunderbolt 4,中高階
novapad_pro,NovaPad Pro,NovaPad Pro 16,16吋,Intel Core i7-14700HX,NVIDIA RTX 4060,8GB GDDR6,16GB DDR5 5600MHz,1TB PCIe Gen4 SSD,2.4kg,22.3mm,高CP值電競,學生 / 主流玩家,WQXGA 2560x1600 / IPS / 165Hz / G-SYNC / 100% DCI-P3,Code-Breaker設計 / TurboVane 3D第5代風扇,Wi-Fi 7 / Thunderbolt 4,中階
novapad_air,NovaPad Air,NovaPad Air 14,14吋,Intel Core Ultra 7 155U,Intel Arc Graphics (Integrated),-,16GB LPDDR5 (Onboard),512GB PCIe Gen4 SSD,1.3kg,13.9mm,超輕薄學生機,通勤族 / 學生 / 輕度使用者,2.8K OLED 2880x1800 / 90Hz / 100% DCI-P3,AirFrame鎂合金機身 / 20hr續航,Wi-Fi 7 / USB-C x2,中階
novapad_lite,NovaPad Lite,NovaPad Lite 15,15.6吋,Intel Core i3-1315U,Intel UHD Graphics (Integrated),-,8GB DDR4,256GB PCIe SSD,1.8kg,19.0mm,入門文書,首購學生 / 家庭用途,FHD 1920x1080 / IPS / 250 nits,LiteCool被動散熱 / SimpleLaunch一鍵開機,Wi-Fi 5 / USB-A x2,入門
novapad_ultra,NovaPad Ultra,NovaPad Ultra 16,16吋,AMD Ryzen 9 7945HX,AMD Radeon RX 7700S,8GB GDDR6,32GB DDR5 5600MHz,1TB PCIe Gen5 SSD,2.3kg,22.5mm,AMD高效電競,AMD愛好者 / 創作兼遊戲,WQXGA / IPS / 165Hz / FreeSync Premium Pro / 100% DCI-P3,AMD Advantage認證 / HyperDrive PCIe Gen5,Wi-Fi 6E / USB-C x2,中高階
visionbook,VisionBook,VisionBook 15 Pro Edition,15吋,Intel Core i9-13900HX,NVIDIA RTX 4080,12GB,64GB DDR5 Dual Channel,2TB PCIe Gen4 SSD,2.9kg,25.4mm,旗艦 OLED 全能創作機,內容創作者 / 影像剪輯 / 高負載工作流,15.6吋 4K OLED / 100% DCI-P3 / Delta E<1 / 工廠校色,ColorVue OLED / SilentBoost 雙風扇均熱板 <40dB / Creator Mode,Wi-Fi 7 / Thunderbolt 4,旗艦
visionbook_17,VisionBook 17,VisionBook 17 Pro,17.3吋,Intel Core i9-14900HX,NVIDIA RTX 4090,16GB GDDR6X,128GB DDR5,4TB PCIe Gen4 SSD,3.1kg,26.0mm,旗艦17吋創作工作站,專業影像後製 / 3D動畫師 / VFX,17.3吋 4K OLED / 120Hz / Delta E<1,ColorVue Pro OLED / SilentBoost+ / Thunderbolt 5 x2,Wi-Fi 7 / Thunderbolt 5 x2,旗艦
visionbook_mini,VisionBook Mini,VisionBook Mini 13,13.3吋,Intel Core Ultra 5 125H,Intel Arc Graphics (Dedicated),-,16GB LPDDR5X (Onboard),512GB PCIe Gen4 SSD,1.1kg,12.5mm,行動創作 OLED,數位插畫師 / 設計科系學生,13.3吋 2.8K OLED / 90Hz / 100% DCI-P3 / Delta E<2,ColorVue Compact OLED / Pen Support 4096階 / 15hr續航,Wi-Fi 7 / Thunderbolt 4,中高階
visionbook_studio,VisionBook Studio,VisionBook Studio 16,16吋,Intel Core Ultra 9 185H,NVIDIA RTX 4080,12GB GDDR6,64GB DDR5 5600MHz,2TB PCIe Gen4 SSD,2.6kg,23.0mm,工作室級創作旗艦,影片後製 / Motion Graphics / 創作工作室,16吋 4K OLED / 120Hz / AdobeRGB 99% / DCI-P3 100%,ColorVue Studio 雙色域認證 / SilentBoost Pro / Creator Mode+,Wi-Fi 7 / Thunderbolt 4 x2,旗艦
luminos_s14,Luminos S14,Luminos S14,14吋,Intel Core Ultra 5 125U,Intel Iris Xe (Integrated),-,16GB LPDDR5 (Onboard),512GB PCIe Gen4 SSD,1.25kg,14.5mm,企業商務,出差業務人員 / 企業採購,FHD IPS / 400 nits,MIL-STD-810H認證 / SecureLogin雙模驗證 / 18hr續航 / 65W快充,Wi-Fi 7 / Thunderbolt 4 x2 / RJ-45,中高階
luminos_flex,Luminos Flex,Luminos Flex 360,14吋,Intel Core Ultra 7 155U,Intel Arc Graphics (Integrated),-,16GB LPDDR5 (Onboard),512GB PCIe Gen4 SSD,1.6kg,17.0mm,2合1商務,顧問 / 教育工作者 / 業務展示,FHD IPS 觸控 / 360度翻轉,360° FlexHinge / ActivePen 4096階 / IR Camera / AI降噪麥克風,Wi-Fi 7 / Thunderbolt 4,中階
luminos_pro_15,Luminos Pro,Luminos Pro 15,15.6吋,Intel Core Ultra 9 185H,NVIDIA RTX 4060,8GB GDDR6,32GB DDR5 5600MHz,1TB PCIe Gen4 SSD,1.9kg,18.0mm,高階商務效能,主管 / 財務分析師 / 高階商務用戶,FHD/OLED選配 / IPS / 400 nits,LuminosShield防窺螢幕 / NumberPad 2.0 / vPro企業管理,Wi-Fi 7 / Thunderbolt 4 x2 / RJ-45,高階
luminos_go_13,Luminos Go,Luminos Go 13,13.3吋,Intel Core Ultra 3 100U,Intel Xe (Integrated),-,8GB LPDDR5 (Onboard),256GB PCIe SSD,0.99kg,12.0mm,超輕量行動辦公,頻繁飛行商務人士 / 極輕量追求者,FHD IPS / 300 nits,Sub-1kg碳纖維機身 / 22hr電池 / 選配4G LTE,Wi-Fi 7 / USB-C x2 / 選配LTE,中階
titanbook_ws1,TitanBook WS1,TitanBook WS1,15.6吋,Intel Core i9-14900HX,NVIDIA RTX 4000 Ada,8GB GDDR6,64GB ECC DDR5,2TB PCIe Gen4 SSD,2.8kg,24.0mm,行動工作站,機械工程師 / 建築師 / CAD用戶,FHD IPS / 400 nits / 100% sRGB,ISV認證(AutoCAD/SolidWorks) / ECC記憶體 / vPro,Wi-Fi 7 / Thunderbolt 4 x2 / RJ-45,旗艦
titanbook_ws2,TitanBook WS2,TitanBook WS2,17.3吋,Intel Xeon W-2295,NVIDIA RTX 5000 Ada,16GB GDDR6,128GB ECC DDR5 Quad Channel,8TB PCIe Gen4 SSD (RAID),4.2kg,32.0mm,重量級行動工作站,VFX工作室 / 資料科學家,17.3吋 4K IPS / DCI-P3 95% / 600 nits,Xeon ECC + RAID / RTX 5000 Ada專業GPU / 4K IPS Pro,Wi-Fi 7 / Thunderbolt 4 x2 / RJ-45 x2 / Docking Port,旗艦
